date;series_1;series_2
17.10.03;9958.43;3867.84
18.10.03;10117.62;3828.07
19.10.03;10109.89;3867.52
20.10.03;10205.2;3913.33
21.10.03;10188.45;3902.72
22.10.03;10188.45;3921.41
23.10.03;10202.65;3864.18
24.10.03;10262.97;3888.31
25.10.03;10195.91;3917.08
26.10.03;10391.08;4017.81
27.10.03;10432.52;4018.95
28.10.03;10368.44;3997.76
29.10.03;10410.1;4021.64
30.10.03;10334.73;3948.65
31.10.03;10380.43;3987.3
01.11.03;10416.41;3999.79
02.11.03;10371.47;3989.31
03.11.03;10395.07;3928.39
04.11.03;10479.57;3945.1
05.11.03;10371.84;4013.35
06.11.03;10357.09;4069.35
07.11.03;10413.43;4069.73
08.11.03;10334.16;4035.02
09.11.03;10282.83;3995.73
10.11.03;10219.34;3944.88
11.11.03;10240.29;3930.58
12.11.03;10171.56;3934.48
13.11.03;10213.22;3924.49
14.11.03;10238.22;3893.24
15.11.03;10247.59;3903.88
16.11.03;10208.8;3898.84
17.11.03;10163.16;3847.19
18.11.03;10139.78;3845.93
19.11.03;10149.07;3837.6
20.11.03;10046.13;3877.48
21.11.03;9962.22;3797.33
22.11.03;9961.92;3752.59
23.11.03;10085.14;3814.08
24.11.03;10117.07;3807.21
25.11.03;10129.24;3889.68
26.11.03;10139.71;3895.61
27.11.03;10179.16;3862.71
28.11.03;10120.24;3877.32
29.11.03;10126.51;3823.74
30.11.03;9963.03;3829.03
01.12.03;9815.33;3727.74
02.12.03;9814.66;3690.33
03.12.03;9944.67;3720.64
04.12.03;9938.32;3678.91
05.12.03;9814.59;3658.11
06.12.03;9825.35;3646.99
07.12.03;9954.55;3699.11
08.12.03;9972.83;3705.73
09.12.03;10083.15;3726.5
10.12.03;10040.82;3722.99
11.12.03;10110.14;3712.61
12.12.03;10073.05;3772.14
13.12.03;10098.63;3771.0
14.12.03;10181.74;3788.88
15.12.03;10195.01;3851.18
16.12.03;10122.52;3838.85
17.12.03;10290.28;3833.45
18.12.03;10260.2;3866.99
19.12.03;10260.2;3887.58
20.12.03;10342.79;3889.04
21.12.03;10313.36;3884.16
22.12.03;10313.07;3886.03
23.12.03;10314.76;3953.31
24.12.03;10318.16;3947.75
25.12.03;10231.36;3941.75
26.12.03;10244.49;3963.65
27.12.03;10284.46;3988.07
28.12.03;10244.93;3991.02
29.12.03;10038.9;3905.66
30.12.03;10047.24;3910.3
31.12.03;9988.54;3874.37
01.01.04;10077.4;3882.27
02.01.04;10080.27;3892.9
03.01.04;10192.65;3994.96
04.01.04;10216.54;4033.28
05.01.04;10177.68;4048.71
06.01.04;10239.92;4049.66
07.01.04;10125.4;4043.36
08.01.04;10055.2;4015.54
09.01.04;10081.97;4017.82
10.01.04;10077.18;3966.48
11.01.04;10002.33;3976.03
12.01.04;9894.45;3940.46
